SMILES,Title
C1C[N@@H+](C)C[C@@H](O)[C@H]1c(c(O)cc2O)c(c23)oc(cc3=O)-c4c(Cl)cccc4,HY-10006
O=CC[NH+](C)C,HY-100061A
Clc1cccc(c1C#N)OC[C@H](O)C[NH2+]C(C)(C)Cc(c2)ccc(c23)cccc3,HY-10007
C/C=C/n(cn1)c(c12)ncnc2N,HY-100079
C/C=C\n(cn1)c(c12)ncnc2N,HY-100079A
CC(C)(C)c1cnc(o1)CSc2cnc(s2)NC(=O)C3CC[NH2+]CC3,HY-10008
CC(C)(C)c1cnc(o1)CSc2cnc(s2)\N=C([O-])\C3CC[NH2+]CC3,HY-10008
C1COCCN1c(nccc2)c2CNC(=O)c3cc(cnc3)-c4cc(Cl)c(cc4)OCCCC,HY-100080
[O-]C(=O)c1c(=O)c(OC)c(C(=O)OC)n(c1)CC(OC)OC,HY-100083
CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@@H]1C(=O)N(C)CCc(c12)cccc2,HY-10009
CC(C)(C)OC(=O)CC[C@@H](C1=O)NC(=O)[C@H](C2)N1[C@@H](CC(C)C)c(c2c34)[nH]c3cc(cc4)OC,HY-10010
C1CN(C=O)C(=O)\C1=C\c(c2)ccc(c23)OCO3,HY-100110
CCOC(=O)c1c(sc(c12)CCC2)NC(=O)C[NH+](CC3)CCN3C(=O)c4ccco4,HY-100111
CCCCOC(\[O-])=N\S(=O)(=O)c(s1)c(cc1CC(C)C)-c(cc2)ccc2Cn3ccnc3,HY-100113
CCCCOC(\[O-])=N\S(=O)(=O)c(s1)c(cc1CC(C)C)-c(cc2)ccc2Cn3cc[nH+]c3,HY-100113
c1cnccc1-c2c(-c3ccc(F)cc3)[nH]c(n2)-c4c(F)cccc4F,HY-100114
c1cc(F)ccc1-c2c(-c3ccncc3)[nH]c(n2)-c4c(F)cccc4F,HY-100114
c1cnccc1-c2c(-c3ccc(F)cc3)[nH]c(n2)-c4c(F)cccc4,HY-100115
c1cc(F)ccc1-c2c(-c3ccncc3)[nH]c(n2)-c4c(F)cccc4,HY-100115
COC(C1=O)=C(OC)C(=O)C(C)=C1CCCCCCCCCC[P+](c2ccccc2)(c3ccccc3)c4ccccc4,HY-100116A
c1cccc(F)c1Cn(cn2)c(c23)ncnc3NC,HY-100118
Cc1ncc(n1C(C)C)-c2ccnc(n2)Nc3ccc(cc3)S(=O)(=O)C,HY-10012
CC(C)n(c1C)c(c[nH+]1)-c2ccnc(n2)Nc3ccc(cc3)S(=O)(=O)C,HY-10012
OC[C@@H]1[C@@H](O)[C@@H](O)[C@@H](O1)n(cc2)c(c23)ncnc3N,HY-100126
FC(F)(F)c1ccc(nc1)NC(=O)N2CCN(CC2)c(c3C(F)(F)F)nccc3,HY-100129
c1cc(Cl)ccc1C[C@@H](c(cc2C#N)ccc2)[C@H](C)NC(=O)C(C)(C)Oc(nc3)ccc3C(F)(F)F,HY-10013
OC[C@@H]1[C@@H](O)[C@@H](O)[C@@H](O1)n(cn2)c(c23)ncnc3NCc4ccc(N)cc4,HY-100130
c1cccc(c12)OC[C@@H](C(=O)N2C)NC(=O)c3cc(on3)Cc4ccccc4,HY-100131
c1cc(Cl)ccc1C[C@H](c(cc2C#N)ccc2)[C@@H](C)NC(=O)C(C)(C)Oc(nc3)ccc3C(F)(F)F,HY-10013A
c1cc(Cl)ccc1C[C@H](c(cc2C#N)ccc2)[C@@H](C)NC(=O)C(C)(C)Oc(nc3)ccc3C(F)(F)F,HY-10013B
COc1ccc(F)c(F)c1C(=O)c2c(N)nc(nc2)NC3CCN(CC3)S(=O)(=O)C,HY-10014
C1C[NH2+]CCC1CCc2cc(-c3ccccc3)nc(c24)cccc4,HY-100140
COc(c1)c(OC)c(OC)cc1C(=O)OCc2cccc(n2)COC(=O)c3cc(OC)c(OC)c(c3)OC,HY-100144
c1ccccc1OCCCCOc2c(ccc(=O)o3)c3cc(c24)occ4,HY-10015
CC[N@@+]1(C)CC[C@H](CC1)OC(=O)[C@H](N2CCCCCC2)c3noc(c34)cccc4,HY-100152
CC[N@@+]1(C)CC[C@H](CC1)OC(=O)[C@@H](N2CCCCCC2)c3noc(c34)cccc4,HY-100152
CC[N@@+]1(C)CC[C@@H](CC1)OC(=O)[C@H](N2CCCCCC2)c3noc(c34)cccc4,HY-100152
CC[N@@+]1(C)CC[C@@H](CC1)OC(=O)[C@@H](N2CCCCCC2)c3noc(c34)cccc4,HY-100152
c1cc(I)ccc1C(=O)N[C@H]2CC[N@@H+](CC2)Cc3ccccc3,HY-100155
c1cc(I)ccc1C(=O)N[C@H]2CC[N@H+](CC2)Cc3ccccc3,HY-100155
c1cc(I)ccc1C(=O)NC2CCN(CC2)Cc3ccccc3,HY-100155
Cc1cn(cn1)-c(cc2)c(OC)cc2/C=C3/C(=O)N(CCC3)[C@@H](C)c4ccc(F)cc4,HY-10016
