SMILES,Title
N#CC1CCN(CC1)Cc2c(C)onc2,F6513-2497
C1CC1c(n2)nc(cc2C)N(C3)CC3OC,F6540-3823
C1CC1c([nH+]2)nc(cc2C)N(C3)CC3OC,F6540-3823
COC1CN(C1)c(ncn2)cc2C3CC3,F6540-3824
COC1CN(C1)c(nc[nH+]2)cc2C3CC3,F6540-3824
CO[C@@H]1CCN(C1)c(cc[nH+]2)nc2C3CC3,F6540-3970
CO[C@@H]1CCN(C1)c(ccn2)nc2C3CC3,F6540-3970
Cc1cc(nc(C)[nH+]1)N(C2)CCC[C@H]2OC,F6540-4206
Cc1cc(nc(n1)C)N(C2)CCC[C@H]2OC,F6540-4206
c1noc(C)c1C[NH+](CC2)CCC2=C3CC3,F6540-6673
c1noc(C)c1CN(CC2)CCC2=C3CC3,F6540-6673
FC(F)(F)[C@H]1CC[N@@H+](CC1)Cc2cnccn2,F6540-9156
FC(F)(F)C1CCN(CC1)Cc2cnccn2,F6540-9156
[C@@H]12CC[C@@H](C[C@H](C1)O)[N@H+]2Cc3ccccn3,F6541-0193
[C@H]12CC[C@H](C[C@H](C1)O)[N@H+]2Cc3ccccn3,F6541-0193
[C@@H]12CC[C@@H](C[C@H](C1)O)N2Cc3ccccn3,F6541-0193
[C@@H]12CC[C@@H](C[C@@H](C1)O)N2Cc3ccccn3,F6541-0193
[C@H]12CC[C@H](C[C@@H](C1)O)[N@H+]2Cc3ccoc3,F6541-0216
[C@@H]12CC[C@@H](C[C@@H](C1)O)[N@H+]2Cc3ccoc3,F6541-0216
[C@@H]12CC[C@@H](C[C@H](C1)O)N2Cc3ccoc3,F6541-0216
[C@@H]12CC[C@@H](C[C@@H](C1)O)N2Cc3ccoc3,F6541-0216
[C@H]12CC[C@H](C[C@@H](C1)O)[N@H+]2Cc3cnccn3,F6541-0258
[C@@H]12CC[C@@H](C[C@@H](C1)O)[N@H+]2Cc3cnccn3,F6541-0258
[C@@H]12CC[C@@H](C[C@H](C1)O)N2Cc3cnccn3,F6541-0258
[C@@H]12CC[C@@H](C[C@@H](C1)O)N2Cc3cnccn3,F6541-0258
OC1CCN(CC1)c(cc2C)nc([nH+]2)C3CC3,F6541-0626
OC1CCN(CC1)c(cc2C)nc(n2)C3CC3,F6541-0626
C1CCC1c2cc(ncn2)N(C3)CCC[C@H]3O,F6541-0744
C1CCC1c2cc(nc[nH+]2)N(C3)CCC[C@H]3O,F6541-0744
C1CCCc(c12)[nH+]cnc2N(C3)CCC[C@H]3O,F6541-0830
C1CCCc(c12)ncnc2N(C3)CCC[C@H]3O,F6541-0830
C1CCC1c2cc(ncn2)N3CCOCC3,F6541-1088
C1CC1c2ccc(nn2)N3CCOCC3,F6541-1093
C1CC1c2nc(ccn2)N3CCOCC3,F6541-1094
C1CC1c2nc(cc[nH+]2)N3CCOCC3,F6541-1094
C1COCCC1(O)C[N@@H+](C2)CCc(c23)scc3,F6541-1627
C1COCCC1(O)CN(C2)CCc(c23)scc3,F6541-1627
N#C[C@H]1CC[N@@H+](CC1)Cc2cc(C)no2,F6541-3013
C1CC1c(n2)nc(cc2C)N3CC[NH+](C)CC3,F6541-4042
C1CC1c([nH+]2)nc(cc2C)N(CC3)CCN3C,F6541-4042
C1CC1c(n2)nc(cc2C)N(CC3)CCN3C,F6541-4042
C1CC1c([nH+]2)nc(cc2C)N3CC[NH+](C)CC3,F6541-4042
OC[C@@H]1CCCN1c(cc2C)nc([nH+]2)C3CC3,F6541-4583
OC[C@@H]1CCCN1c(cc2C)nc(n2)C3CC3,F6541-4583
OC[C@@H]1CCCN1c([nH+]cn2)cc2N(C)C,F6541-4587
OC[C@@H]1CCCN1c(ncn2)cc2N(C)C,F6541-4587
C1SCC[C@H]1[NH+](CC2)CCN2c3ccccn3,F6541-4855
C1SCC[C@H]1N2CCN(CC2)c3ccccn3,F6541-4855
n1ccccc1N2CC[NH+](CC2)C3CCOCC3,F6541-4861
FC(F)(F)c1cc(nc(n1)C)N2CCC[N@@H+](C)CC2,F6541-5022
CC(C)[NH+](CC1)CCN1c2cnccn2,F6541-5245
CC(C)N1CCN(CC1)c2cnccn2,F6541-5245
CC(C)[NH+](CC1)CCN1c(n2)nccc2C,F6541-5313
CC(C)N1CCN(CC1)c(n2)nccc2C,F6541-5313
CC(C)[NH+](CC1)CCN1c(c2C)nccn2,F6541-5317
CC(C)N1CCN(CC1)c(c2C)nccn2,F6541-5317
Cc1nc(ccn1)N(CC2)CCC2[NH+](C)C,F6541-5542
Cc1nc(cc[nH+]1)N(CC2)CCC2[NH+](C)C,F6541-5542
Cc1cncc(n1)N(CC2)CCC2[NH+](C)C,F6541-5545
n1cccn1CCN(CC2)CCS2(=O)=O,F6543-1209
Cc1cc(C)nc(n1)N(C[C@@H]2C)C[C@@H](O2)C,F6543-7247
C[C@H]1CN(C[C@@H](O1)C)c(ncn2)cc2N(C)C,F6543-7286
C[C@H]1CN(C[C@@H](O1)C)c([nH+]cn2)cc2N(C)C,F6543-7286
C1CC1c2cc(ncn2)N3CCSCC3,F6543-8841
C1CC1c2cc(nc[nH+]2)N3CCSCC3,F6543-8841
CCc1cc(ncn1)N2C[C@@H](C[C@@H]23)SC3,F6543-9019
CCc1cc(nc[nH+]1)N2C[C@@H](C[C@@H]23)SC3,F6543-9019
Cc1nc(cc[nH+]1)N(CC2)CCC2OC,F6544-0193
Cc1nc(ccn1)N(CC2)CCC2OC,F6544-0193
C1CCC1[NH+](CC2)CCN2c3cnccn3,F6544-1230
C1CC1[N@H+](C2)C[C@@H]([C@@H]23)CN(C3)c(nc4)ncc4F,F6546-0780
C1CC1[N@@H+](C2)C[C@@H]([C@@H]23)CN(C3)c(nc4)ncc4F,F6546-0780
C1CCC12[C@@H](C([O-])=O)CN(C2)c(cc3C)nc[nH+]3,F6559-5262
C1CCC12[C@@H](C([O-])=O)CN(C2)c(ncn3)cc3C,F6559-5262
FC(F)(F)[C@]1(O)CCN(C1)c(cc2C)nc([nH+]2)C3CC3,F6572-0586
FC(F)(F)[C@]1(O)CCN(C1)c(cc2C)nc(n2)C3CC3,F6572-0586
C1CCNc(c12)nc(nc2)N3CCOCC3,F6612-0001
C1CCNc(c12)nc([nH+]c2)N3CCOCC3,F6612-0001
C1CCNc(c12)[nH+]c(nc2)N3CCOCC3,F6612-0001
C1CCc(c12)[nH+]c(C)nc2NC3CCOCC3,F6616-1847
C1CCc(c12)nc(C)nc2NC3CCOCC3,F6616-1847
CC(C)c1nc(cc[nH+]1)N2CCCOCC2,F6656-0961
CC(C)c1nc(ccn1)N2CCCOCC2,F6656-0961
[C@@H]12CC[C@@H](CC=C1)N2Cc3nncn3C,F6540-0915
[C@@H]12CC[C@@H](CC=C1)[N@H+]2Cc3nncn3C,F6540-0915
C=C1CCCN(C1)Cc(nn2)n(c23)CCC3,F6540-1156
C=C1CCC[N@H+](C1)Cc(nn2)n(c23)CCC3,F6540-1156
CN(C)c1cc(ncn1)N(C2)CCC[C@H]2OC,F6540-4248
CN(C)c1cc([nH+]cn1)N(C2)CCC[C@H]2OC,F6540-4248
Cc1nnc(s1)N(CC2)CCC2=C3CC3,F6540-6614
n1ocnc1CN(CC2)CCC2=C3CC3,F6540-6688
n1ocnc1C[NH+](CC2)CCC2=C3CC3,F6540-6688
CC(C)[NH+](CC1)CCN1c(nc2)ncc2F,F6541-5261
CC(C)N1CCN(CC1)c(nc2)ncc2F,F6541-5261
C1CCCC1[NH+](CC2)CCN2c3ncccn3,F6543-0989
Cc1cc(C)nc(n1)N2C[C@@H](C[C@@H]23)OC3,F6543-1961
CCc1c(F)c(ncn1)N2C[C@@H](C[C@@H]23)OC3,F6543-1964
FCC1CN(C1)c2nc[nH+]c(c23)CCCC3,F6543-5464
FCC1CN(C1)c2ncnc(c23)CCCC3,F6543-5464
Cc1cc(C)nc(n1)N2C[C@@H](C[C@@H]23)SC3,F6543-8984
Cc1cc(C)nc(n1)N(CC2)CCC2OC,F6544-0087
FC(F)(F)c1ccnc(n1)N(CC2)CCC2OC,F6544-0092
CO[C@H]1CC[N@@H+](CC1)Cc2cccc(n2)C,F6544-0097
COC1CCN(CC1)Cc2cccc(n2)C,F6544-0097
CCc1cc(ncn1)N(CC2)CCC2OC,F6544-0147
CCc1cc(nc[nH+]1)N(CC2)CCC2OC,F6544-0147
c1ccc(=O)n(c12)C[C@H]3C[C@@H]2C[N@@H+](C3)C4CCOCC4,F6544-0534
c1ccc(=O)n(c12)C[C@H]3C[C@@H]2CN(C3)C4CCOCC4,F6544-0534
C1CCC1[NH+](CC2)CCN2c(nc3)ncc3Cl,F6544-1257
CN(C)c1cc([nH+]cn1)N(C2)C[C@H]([C@H]23)C[N@@H+](C)C3,F6546-0588
CN(C)c1cc([nH+]cn1)N(C2)C[C@H]([C@H]23)C[N@H+](C)C3,F6546-0588
CN(C)c1cc(ncn1)N(C2)C[C@H]([C@H]23)C[N@@H+](C)C3,F6546-0588
CN(C)c1cc(ncn1)N(C2)C[C@H]([C@H]23)C[N@H+](C)C3,F6546-0588
C1CC1[N@H+](C2)C[C@@H]([C@@H]23)CN(C3)c(nc4)ncc4Cl,F6546-0782
C1CC1[N@@H+](C2)C[C@@H]([C@@H]23)CN(C3)c(nc4)ncc4Cl,F6546-0782
CN(C)c1cc(ncn1)N(C2)CCC[C@H]2O,F6570-1027
CN(C)c1cc([nH+]cn1)N(C2)CCC[C@H]2O,F6570-1027
Cc1onc(C)c1C[NH+](CC2)CCC2=C3CC3,F6540-6607
Cc1onc(C)c1CN(CC2)CCC2=C3CC3,F6540-6607
Fc1cnc(nc1)N(C2)CC[C@@H]([C@H]23)NC(=O)COC3,F1901-3068
C1C[NH2+]CCC1Cn(c(=O)c2)nc(c23)CCCC3,F1967-9979
